epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3719,4.17558,4.36034,0.74529,0.26663,0.12888,0.06872,0.01432,4.28378,3.91057,0.70297,0.00331512,0.00331512,0.0701639
2,151.122,4.05997,1.88642,0.71121,0.13971,0.04535,0.00994,0.0015,4.50199,5.77881,0.82301,0.00664196,0.00664196,0.0401574
3,221.96,3.89992,1.80479,0.69003,0.35106,0.13962,0.10399,0.02297,3.95947,2.43372,0.71206,0.00994282,0.00994282,0.010125
4,291.212,3.7189,1.6572,0.68056,0.43542,0.25776,0.18841,0.05258,3.55303,2.05955,0.67227,0.00991232,0.00991232,0.00991232
5,361.628,3.74752,1.60149,0.6717,0.40308,0.15274,0.12892,0.03617,3.71316,2.83966,0.69368,0.00984449,0.00984449,0.00984449
