epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4317,3.16726,12.7832,0.46239,0,0,0,0,0,4.58138,0,0.0032971,0.0032971,0.0703261
2,74.3445,3.83573,3.58225,0.55512,0,0,0,0,1e-05,0.09031,9e-05,0.00655871,0.00655871,0.0402544
3,112.743,4.2683,4.38256,0.61693,0.00025,0.00239,0,0,3.5002,5.36888,0.49814,0.00953737,0.00953737,0.00989969
4,151.511,4.73105,4.55366,0.66887,0.00012,0.00239,1e-05,0,5.38356,6.20416,0.64752,0.00905463,0.00905463,0.00905463
5,191.174,4.72087,4.13631,0.6721,0,0,0,0,0,3e-05,0,0.0083622,0.0083622,0.0083622
6,226.096,4.74699,3.56141,0.65225,0.03565,0.00358,0.00125,0.00039,5.00078,4.1296,0.63794,0.007525,0.007525,0.007525
7,263.566,4.70665,3.19136,0.64854,0.06939,0.01313,0.0059,0.00113,5.13451,3.36027,0.64535,0.00657963,0.00657963,0.00657963
8,303.276,4.57775,2.98347,0.65556,0.02277,0.02983,0.01022,0.00322,4.68885,3.34993,0.6095,0.00556742,0.00556742,0.00556742
9,342.688,4.51563,2.58025,0.65274,0.12255,0.02745,0.01214,0.00251,4.71901,3.3095,0.61525,0.00453258,0.00453258,0.00453258
10,383.209,4.24401,2.24567,0.64279,0.25653,0.05131,0.02679,0.00513,4.52915,2.49146,0.60321,0.00352037,0.00352037,0.00352037
11,423.872,4.08033,2.02901,0.63058,0.32979,0.05967,0.04106,0.00829,4.24403,2.24214,0.60308,0.002575,0.002575,0.002575
12,463.49,4.03213,1.89623,0.62724,0.3558,0.07399,0.04859,0.01178,4.31161,2.09941,0.59068,0.0017378,0.0017378,0.0017378
13,504.276,4.04176,1.80974,0.63168,0.34962,0.06683,0.04472,0.01375,4.34418,2.10282,0.59448,0.00104537,0.00104537,0.00104537
